produto_codigo,produto_nome,categoria,preco_venda_atual,custo_ingredientes,custo_embalagem,custo_adesivo,custo_sacola,custo_sanitizante,custo_papel,custo_mao_de_obra,custo_total,imposto_valor,preco_sugerido,lucro_reais,margin_percentual,observacoes
CHA001,Blend Alegria Sache individual,Chas,4.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA002,Blend Alegria Caixa 4 saches,Chas,15.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA003,Blend Alegria Kraft 20g,Chas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA004,Blend Alegria Tubo 20g,Chas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA005,Blend Vivencie Sache individual,Chas,4.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA006,Blend Vivencie Caixa 4 saches,Chas,15.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA007,Blend Vivencie Kraft 20g,Chas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA008,Blend Vivencie Tubo 20g,Chas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA009,Blend Acalme Sache individual,Chas,4.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA010,Blend Acalme Caixa 4 saches,Chas,15.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA011,Blend Acalme Kraft 20g,Chas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA012,Blend Acalme Tubo 20g,Chas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA013,Blend Fluir Sache individual,Chas,4.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA014,Blend Fluir Caixa 4 saches,Chas,15.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA015,Blend Fluir Kraft 20g,Chas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA016,Blend Fluir Tubo 20g,Chas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA017,Blend Tropical Sache individual,Chas,4.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA018,Blend Tropical Caixa 4 saches,Chas,15.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA019,Blend Tropical Kraft 20g,Chas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
CHA020,Blend Tropical Tubo 20g,Chas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
MEX001,Colecao Botanica Unidade,Mexedores,10.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
MEX002,Colecao Botanica Kit degustacao 12 unidades,Mexedores,100.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
MEX003,Colecao Tropical Unidade,Mexedores,10.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
MEX004,Colecao Tropical Kit degustacao 12 unidades,Mexedores,100.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR001,Banana 50g,Frutas Desidratadas,10.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR002,Abacaxi 50g,Frutas Desidratadas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR003,Abacaxi Rosa 50g,Frutas Desidratadas,22.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR004,Caju 50g,Frutas Desidratadas,18.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR005,Laranja 50g,Frutas Desidratadas,18.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR006,Limao Tahiti 50g,Frutas Desidratadas,18.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR007,Limao Siciliano 50g,Frutas Desidratadas,22.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR008,Maca 50g,Frutas Desidratadas,16.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR009,Maca Rosa 50g,Frutas Desidratadas,18.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR010,Manga 50g,Frutas Desidratadas,18.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR011,Manga com Maracuja 50g,Frutas Desidratadas,22.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR012,Maracuja 50g,Frutas Desidratadas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR013,Melancia 50g,Frutas Desidratadas,25.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR014,Kiwi 25g,Frutas Desidratadas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR015,Morango 25g,Frutas Desidratadas,30.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR016,Pitaya 25g,Frutas Desidratadas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
FR017,Jaca 50g,Frutas Desidratadas,16.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
MIX001,Banana + Manga + Pitaya 50g,Mix de Frutas,16.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
MIX002,Banana + Kiwi + Morango 70g,Mix de Frutas,20.00,,,,,,,,,,,,"preencher custos e comparar com o preco atual"
